installed_rank,version,description,type,script,checksum,installed_by,installed_on,execution_time,success
59,59,update backdated months setting,SQL,V59__update_backdated_months_setting.sql,1689882874,postgres,2026-05-01 08:25:16.198729,7,t
60,60,verify all existing emails,SQL,V60__verify_all_existing_emails.sql,807487059,postgres,2026-05-07 12:56:03.556302,61,t
61,61,add company discount amount,SQL,V61__add_company_discount_amount.sql,1740282442,postgres,2026-06-24 11:48:37.229473,78,t
62,62,create payment records,SQL,V62__create_payment_records.sql,1826129037,postgres,2026-06-27 17:35:13.982819,226,t
63,63,fix payment audit logs columns,SQL,V63__fix_payment_audit_logs_columns.sql,-8646314,postgres,2026-06-27 18:10:43.647033,17,t
64,66,recreate payment tables,SQL,V66__recreate_payment_tables.sql,-122988092,postgres,2026-06-27 18:41:49.501931,65,t
65,67,add kinship verified,SQL,V67__add_kinship_verified.sql,-1028858094,postgres,2026-06-27 20:25:30.888703,31,t
66,68,pricing classification,SQL,V68__pricing_classification.sql,-843228515,postgres,2026-06-29 11:10:06.239112,181,t
67,69,add simulation and exclusions,SQL,V69__add_simulation_and_exclusions.sql,641340388,postgres,2026-06-29 19:51:41.600639,246,t
68,70,create medical semantic tables,SQL,V70__create_medical_semantic_tables.sql,1613401214,postgres,2026-06-29 21:27:19.710578,108,t
69,71,create provider pre auth portal,SQL,V71__create_provider_pre_auth_portal.sql,1234011799,postgres,2026-06-30 20:46:21.043618,222,t
70,78,fix medical categories hierarchy,SQL,V78__fix_medical_categories_hierarchy.sql,-1585071400,postgres,2026-07-04 20:08:08.152658,24,t
71,79,add max contract price,SQL,V79__add_max_contract_price.sql,2129352190,postgres,2026-07-09 09:29:42.857842,59,t
72,81,remove sub inpat categories,SQL,V81__remove_sub_inpat_categories.sql,946303963,postgres,2026-07-09 09:58:26.912662,96,t
73,82,fix provider type constraint,SQL,V82__fix_provider_type_constraint.sql,-299779527,postgres,2026-07-09 15:49:08.163141,127,t
74,83,verify all existing emails,SQL,V83__verify_all_existing_emails.sql,807487059,postgres,2026-07-12 20:55:46.074583,28,t
75,84,full benefit classification cutover,SQL,V84__full_benefit_classification_cutover.sql,1209039075,postgres,2026-07-13 18:22:55.749722,595,t
76,85,link special benefits to policy groups,SQL,V85__link_special_benefits_to_policy_groups.sql,-1487405901,postgres,2026-07-13 20:23:11.137596,93,t
77,86,support multi year benefit bucket periods,SQL,V86__support_multi_year_benefit_bucket_periods.sql,-1141374650,postgres,2026-07-13 20:23:11.411353,13,t
78,87,store special benefit policy terms,SQL,V87__store_special_benefit_policy_terms.sql,54248909,postgres,2026-07-13 20:23:11.437256,6,t
79,88,prevent duplicate benefit structure names,SQL,V88__prevent_duplicate_benefit_structure_names.sql,-1212261295,postgres,2026-07-13 21:42:14.538245,27,t
80,89,retire rule level limits,SQL,V89__retire_rule_level_limits.sql,202588480,postgres,2026-07-15 07:18:32.30265,10,t
81,90,enforce insurance identity uniqueness,SQL,V90__enforce_insurance_identity_uniqueness.sql,-1005123920,postgres,2026-07-15 07:18:33.523908,114,t
82,91,add unit bank policy specific categories,SQL,V91__add_unit_bank_policy_specific_categories.sql,-1332652060,postgres,2026-07-15 07:18:33.649014,23,t
83,92,employer scoped provider pricing,SQL,V92__employer_scoped_provider_pricing.sql,122503373,postgres,2026-07-15 07:18:33.682876,190,t
84,93,restore unified medical catalog tables,SQL,V93__restore_unified_medical_catalog_tables.sql,45278606,postgres,2026-07-21 11:58:37.060685,179,t
85,94,create medical specialties,SQL,V94__create_medical_specialties.sql,-1494332209,postgres,2026-07-21 11:58:37.430735,25,t
86,95,align password reset tokens,SQL,V95__align_password_reset_tokens.sql,353829819,postgres,2026-07-21 11:58:37.466707,45,t
87,96,align preauthorization attachments,SQL,V96__align_preauthorization_attachments.sql,-848917387,postgres,2026-07-21 11:58:37.521418,15,t
88,97,align preauthorization request date,SQL,V97__align_preauthorization_request_date.sql,-1245897497,postgres,2026-07-21 11:58:37.547323,24,t
89,98,count physiotherapy sessions per unit,SQL,V98__count_physiotherapy_sessions_per_unit.sql,192936813,postgres,2026-07-21 15:36:28.795598,35,t
90,99,add optimistic locking to benefit policies,SQL,V99__add_optimistic_locking_to_benefit_policies.sql,1392723937,postgres,2026-07-21 22:41:12.244313,22,t
91,100,add claim review pause,SQL,V100__add_claim_review_pause.sql,-1804482630,postgres,2026-07-22 11:20:09.582433,144,t
92,101,add claim submission source,SQL,V101__add_claim_submission_source.sql,2027556082,postgres,2026-07-22 11:20:11.380261,14,t
93,102,add claim reviewer identity,SQL,V102__add_claim_reviewer_identity.sql,-1769627184,postgres,2026-07-22 21:40:36.199576,84,t
